Date,Followers
2016-10-03,527432
2016-11-03,527595
2016-12-03,528821
2017-01-03,530616
2017-02-03,532660
2017-03-03,535910
2017-04-03,537674
2017-05-03,539091
2017-06-03,541297
2017-07-03,546339
2017-08-03,554832
2017-09-03,558736
2017-10-03,562184
2017-11-03,565314
2017-12-03,569585
2018-01-03,573010
2018-02-03,579131
2018-03-03,583814
2018-04-03,587313
2018-05-03,594873
2018-06-03,653208
2018-07-03,663123
2018-08-03,667795
2018-09-03,676177
2018-10-03,704717
2018-11-03,716526
2018-12-03,722497
2019-01-03,732420
2019-02-03,752217
2019-03-03,771302
2019-04-03,790706
2019-05-03,805116
2019-06-03,829937
2019-07-03,856323
2019-08-03,885226
2019-09-03,925623
2019-10-03,946130
2019-11-03,955565
2019-12-03,972595
2020-01-03,993050
2020-02-03,1049710
2020-03-03,1070853
2020-04-03,1111808
2020-05-03,1156913
2020-06-03,1164656
2020-07-03,1128432
2020-08-03,1115386
